"name","location","games","wins","loses","playoff","confchampions","nbachampions","conference"
"Buffalo Braves",0,0,0,0,0,0,0,0
"New York Nets",0,0,0,0,0,0,0,0
"Kansas City-Omaha Kings",0,0,0,0,0,0,0,0
"Capital Bullets",0,0,0,0,0,0,0,0
"Baltimore Bullets",0,0,0,0,0,0,0,0
"Cincinnati Royals",0,0,0,0,0,0,0,0
"San Francisco Warriors",0,0,0,0,0,0,0,0
"San Diego Rockets",0,0,0,0,0,0,0,0
"St. Louis Hawks",0,0,0,0,0,0,0,0
"Syracuse Nationals",0,0,0,0,0,0,0,0
"Chicago Zephyrs",0,0,0,0,0,0,0,0
"Philadelphia Warriors",0,0,0,0,0,0,0,0
"Chicago Packers",0,0,0,0,0,0,0,0
"Minneapolis Lakers",0,0,0,0,0,0,0,0
"Fort Wayne Pistons",0,0,0,0,0,0,0,0
"Rochester Royals",0,0,0,0,0,0,0,0
"Milwaukee Hawks",0,0,0,0,0,0,0,0
"Baltimore Bullets (1)",0,0,0,0,0,0,0,0
"Indianapolis Olympians",0,0,0,0,0,0,0,0
"Tri-Cities Blackhawks",0,0,0,0,0,0,0,0
"Washington Capitols",0,0,0,0,0,0,0,0
"Chicago Stags",0,0,0,0,0,0,0,0
"Anderson Packers",0,0,0,0,0,0,0,0
"St. Louis Bombers",0,0,0,0,0,0,0,0
"Sheboygan Red Skins",0,0,0,0,0,0,0,0
"Waterloo Hawks",0,0,0,0,0,0,0,0
